datetime,temperature_dht,humidity_dht,temperature_bme,humidity_bme,pressure
2024-12-06 16:03:32,21.9,31.5,22.7,32.27,881.38
2024-12-06 16:04:32,22.5,31.5,22.72,32.29,881.33
2024-12-06 16:05:33,23.6,32.9,22.75,32.35,881.42
2024-12-06 16:06:33,23.6,32.2,22.76,32.32,881.41
2024-12-06 16:07:34,22.3,32.7,22.76,32.31,881.46
2024-12-06 16:08:34,22.2,31.6,22.72,32.45,881.47
2024-12-06 16:09:35,22.8,33.2,22.73,32.45,881.48
2024-12-06 16:10:36,23.1,33.3,22.72,32.45,881.44
2024-12-06 16:11:36,23.4,33.0,22.73,32.5,881.45
2024-12-06 16:12:36,23.4,33.0,22.7,32.44,881.44
2024-12-06 16:13:37,23.2,32.3,22.7,32.57,881.49
2024-12-06 16:14:37,23.2,33.4,22.73,32.69,881.43
2024-12-06 16:15:38,22.4,33.2,22.76,32.68,881.46
2024-12-06 16:16:38,22.1,33.2,22.78,33.07,881.47
2024-12-06 16:17:38,23.7,33.0,22.8,33.86,881.48
2024-12-06 16:18:39,23.1,33.2,23.0,33.54,881.44
2024-12-06 16:19:39,23.7,33.4,23.12,33.48,881.5
2024-12-06 16:20:39,22.5,33.6,23.14,33.19,881.45
2024-12-06 16:21:40,23.9,32.6,23.06,32.87,881.42
2024-12-06 16:22:40,22.3,33.5,23.0,33.11,881.47
2024-12-06 16:23:41,23.7,32.8,23.03,32.94,881.37
2024-12-06 16:24:41,22.7,33.2,23.14,32.76,881.37
2024-12-06 16:25:41,23.7,33.6,23.1,32.96,881.33
2024-12-06 16:26:42,23.1,33.4,22.97,33.04,881.45
2024-12-06 16:27:42,23.3,33.9,22.93,33.14,881.49
2024-12-06 16:28:43,23.6,32.5,22.81,33.13,881.46
2024-12-06 16:29:43,23.6,32.6,22.8,33.17,881.49
2024-12-06 16:30:44,23.5,33.4,22.84,33.04,881.48
2024-12-06 16:31:44,22.3,33.7,22.8,33.14,881.48
2024-12-06 16:32:45,22.6,33.7,22.77,33.3,881.51
2024-12-06 16:33:45,22.6,34.0,22.75,33.27,881.4
2024-12-06 16:34:46,22.9,32.7,22.75,33.3,881.39
2024-12-06 16:35:46,22.2,33.9,22.72,33.29,881.41
2024-12-06 16:36:46,22.5,33.7,22.7,33.48,881.41
2024-12-06 16:37:47,22.6,33.8,22.71,33.46,881.4
2024-12-06 16:38:49,22.9,33.6,22.72,33.44,881.41
2024-12-06 16:39:49,22.5,34.2,22.72,33.37,881.41
2024-12-06 16:40:50,23.3,34.1,22.7,33.48,881.47
2024-12-06 16:41:50,22.3,32.7,22.66,33.49,881.46
2024-12-06 16:42:51,23.0,33.7,22.76,33.45,881.42
2024-12-06 16:43:51,22.5,32.7,22.78,33.42,881.52
2024-12-06 16:44:51,23.0,32.8,22.79,33.43,881.43
2024-12-06 16:45:52,21.9,34.0,22.68,33.6,881.49
2024-12-06 16:46:57,22.3,32.9,22.7,33.65,881.47
2024-12-06 16:47:58,21.9,33.9,22.72,33.6,881.52
2024-12-06 16:48:58,22.5,32.7,22.69,33.56,881.53
2024-12-06 16:49:59,22.5,33.5,22.69,33.63,881.61
2024-12-06 16:50:59,23.1,33.5,22.62,33.79,881.61
2024-12-06 16:52:00,23.3,33.6,22.64,33.8,881.62
2024-12-06 16:53:01,23.0,34.1,22.74,33.61,881.55
2024-12-06 16:54:18,22.8,32.9,22.56,33.72,881.58
2024-12-06 16:55:19,22.3,34.5,22.55,33.75,881.58
